fold,seed,image_id,method,stage,mse,psnr_db,ssim,delta_e00,element_count,below_zero_count,above_one_count,total_oor_count,below_zero_fraction,above_one_fraction,total_oor_fraction,mean_clip_magnitude_active,max_clip_magnitude
0,20260813,185.png,BOSR_FULL_B1,final,0.0021280631812475425,26.7201548217594,0.9720214009284973,4.406537289386668,,,,,,,0.0,,
0,20260813,191.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0012854162927113495,28.909561996879564,0.9731571078300476,3.5143342024205926,529200,14517,0,14517,0.027431972789115647,0.0,0.027431972789115647,0.019074530046857035,0.05682845041155815
0,20260813,191.png,RGB_ADD_FULL_B0P1,post-clipping,0.0012684159869220063,28.96738292828917,0.9813545346260071,3.4443711964085355,529200,14517,0,14517,0.027431972789115647,0.0,0.027431972789115647,0.019074530046857035,0.05682845041155815
0,20260813,191.png,BOSR_FULL_B1,final,0.0013071499374065492,28.836745935567848,0.9745492935180664,3.4816944197849353,,,,,,,0.0,,
0,20260813,192.png,RGB_ADD_FULL_B0P1,pre-clipping,0.00015334138728928195,38.14340611972216,0.9785244464874268,1.2306256816311574,529200,30415,315,30730,0.057473544973544975,0.0005952380952380953,0.05806878306878307,0.011274560369806175,0.05289905145764351
0,20260813,192.png,RGB_ADD_FULL_B0P1,post-clipping,0.00013389784630400743,38.73226408393573,0.9901362061500549,1.1623190801276024,529200,30415,315,30730,0.057473544973544975,0.0005952380952380953,0.05806878306878307,0.011274560369806175,0.05289905145764351
0,20260813,192.png,BOSR_FULL_B1,final,0.00015336628439953037,38.14270103937249,0.9821766018867493,1.2736650031649275,,,,,,,0.0,,
0,20260813,204.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0005391927032164907,32.68255993650511,0.96551513671875,2.309379306488853,529200,22274,0,22274,0.04208994708994709,0.0,0.04208994708994709,0.019071179476495184,0.052803218364715576
0,20260813,204.png,RGB_ADD_FULL_B0P1,post-clipping,0.0005152926695266965,32.87946035700676,0.9852609038352966,2.233662732706662,529200,22274,0,22274,0.04208994708994709,0.0,0.04208994708994709,0.019071179476495184,0.052803218364715576
0,20260813,204.png,BOSR_FULL_B1,final,0.0005240869408666305,32.805966618586,0.9777237176895142,2.315718812600553,,,,,,,0.0,,
0,20260813,208.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0023935929693665176,26.20949699454758,0.9668919444084167,4.630302618558159,529200,9615,1,9616,0.01816893424036281,1.8896447467876038e-06,0.0181708238851096,0.028444132947108222,0.05981497839093208
0,20260813,208.png,RGB_ADD_FULL_B0P1,post-clipping,0.002374660427156075,26.243984850522267,0.9771954417228699,4.563824001896458,529200,9615,1,9616,0.01816893424036281,1.8896447467876038e-06,0.0181708238851096,0.028444132947108222,0.05981497839093208
0,20260813,208.png,BOSR_FULL_B1,final,0.002398032309204389,26.201449698549123,0.9704214930534363,4.5907745420875266,,,,,,,0.0,,
0,20260813,214.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0005404965550293115,32.67207069770853,0.9788681268692017,2.308540596089944,529200,9248,0,9248,0.01747543461829176,0.0,0.01747543461829176,0.026403707640950267,0.058278050273656845
0,20260813,214.png,RGB_ADD_FULL_B0P1,post-clipping,0.0005251409566888903,32.79724108983304,0.9853512048721313,2.2422293353943505,529200,9248,0,9248,0.01747543461829176,0.0,0.01747543461829176,0.026403707640950267,0.058278050273656845
0,20260813,214.png,BOSR_FULL_B1,final,0.0005507124283547316,32.590751223475294,0.9786914587020874,2.238283083424391,,,,,,,0.0,,
0,20260813,220.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0010459621608671671,29.804840263901934,0.9773147106170654,2.8501962065329365,529200,10677,0,10677,0.020175736961451248,0.0,0.020175736961451248,0.026872915551750476,0.05567165091633797
